Job Title,Company,Company Address,Posting Time,Job Type(s),Career Level,Years of Experience,Industries,Skill(s),Link
Senior AI / ML Engineer,Paxerahealth Corp,"Smart Village, Giza, Egypt",05/01/2022 22:05,Full Time | AI | Engineering,Experienced,2 - 3 Yrs of Exp,IT/Software Development | Medical/Healthcare | Engineering - Telecom/Technology,AI | computer | Computer Science | Theano | TensorFlow | Data Science | Engineering,https://wuzzuf.net/jobs/p/2x6jpjaGCr30-Senior-AI-ML-Engineer-Paxerahealth-Corp-Giza-Egypt?o=1&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
AI Developer,Roots Management Consultants,"6th of October, Giza, Egypt",16/01/2022 22:05,Full Time | AI | Engineering,Experienced,4 - 6 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,AI | Algorithms | Artificial Intelligence | Computer Science | Data Science | Engineering | Information Technology (IT) | Machine Learning,https://wuzzuf.net/jobs/p/UAz6Bz0UAc1w-AI-Developer-Roots-Management-Consultants-Giza-Egypt?o=2&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Computer Science/Coach,iSchool,"New Cairo, Cairo, Egypt",16/01/2022 22:05,Full Time | Software Engineering,Entry Level,1 - 3 Yrs of Exp,IT/Software Development | Education/Teaching | Training/Instructor,Computer Science | Software Engineering | Coding | Ed-tech | Steam | Stem | STEAM,https://wuzzuf.net/jobs/p/3E4tMEoAHTyQ-Computer-ScienceCoach-iSchool-Cairo-Egypt?o=3&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Computer Science Coach,iSchool,"New Cairo, Cairo, Egypt",16/01/2022 22:05,Part Time | Software Engineering,Entry Level,1 - 3 Yrs of Exp,IT/Software Development | Education/Teaching | Training/Instructor,Computer Science | Software Engineering | Coding | Ed-tech | Steam | Stem | STEAM,https://wuzzuf.net/jobs/p/zvwiPHk8f1I4-Computer-Science-Coach-iSchool-Cairo-Egypt?o=4&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Full Stack Developer (Fully Remote Working),Confidential,"Alexandria, Egypt",17/01/2022 22:05,Full Time,Experienced,4+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Computer Science | Software Development | Python | React | SQL | JavaScript | AWS | Agile,https://wuzzuf.net/jobs/p/7NZkfOo0TphY-Full-Stack-Developer-Fully-Remote-Working-Alexandria-Egypt?o=5&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
C++ Software Engineer - Computer Vision,360Imaging,"Dokki, Giza, Egypt",20/12/2021 22:05,Internship | Software Engineering,Entry Level,,IT/Software Development | Engineering - Telecom/Technology,C | C++ | Mathematics | Linear Algebra | Image Processing | hpc | Software Engineering | Git,https://wuzzuf.net/jobs/p/sqnXP1x1akr3-C-Software-Engineer---Computer-Vision-360Imaging-Giza-Egypt?o=6&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
C++ Software Engineer,360Imaging,"Dokki, Giza, Egypt",20/12/2021 22:05,Full Time | Work From Home,Entry Level,1+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,C++ | C++11 | R&amp;D | Linear Algebra | Computer Vision | Image Processing | GPU Programming | Computational Geometry,https://wuzzuf.net/jobs/p/qOQQBdKQrzUz-C-Software-Engineer-360Imaging-Giza-Egypt?o=7&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
C++/C# Software Engineer,TensorGraph,"Maadi, Cairo, Egypt",20/12/2021 22:05,Full Time | Engineering,Experienced,3+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,C# | C++ | Algorithms | Data Structures | Engineering | Software Development | Programming | Computer Science,https://wuzzuf.net/jobs/p/46cRFMRKbF7s-CC-Software-Engineer-TensorGraph-Cairo-Egypt?o=8&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Engineering /Robotics/Coding Facilitator (For Kids),Edu-Zone,"New Cairo, Cairo, Egypt",05/01/2022 22:05,Full Time | Part Time,Entry Level,0 - 3 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology | Training/Instructor,Teaching | Education | STEAM | Computer Skills | Astronomy | Science | Physics,https://wuzzuf.net/jobs/p/SHyJSrxmy3D9-Engineering-RoboticsCoding-Facilitator-For-Kids-Edu-Zone-Cairo-Egypt?o=9&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
Robotics Engineer Instructor (For Kids),Edu-Zone,"New Cairo, Cairo, Egypt",05/01/2022 22:05,Full Time | Part Time,Entry Level,0 - 3 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology | Training/Instructor,Teaching | Education | STEAM | Computer Skills | Astronomy | Science | Physics,https://wuzzuf.net/jobs/p/lJI2R1BSZ7a0-Robotics-Engineer-Instructor-For-Kids-Edu-Zone-Cairo-Egypt?o=10&l=sp&t=sj&a=AI%20Engineer|search-v3|hpb
