Job Title,Company,Company Address,Posting Time,Job Type(s),Career Level,Years of Experience,Industries,Skill(s),Link
.Net Web Developer,Walan Technology,"Cairo, Egypt",18/01/2022 17:23,Full Time | Web Development,Entry Level,1 - 5 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,C# | Back End | SQL | ASP.Net | Web Development | .Net | CSS | HTML,https://wuzzuf.net/jobs/p/yhcWeqtvV0hC-Net-Web-Developer-Walan-Technology-Cairo-Egypt?o=1&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Dot Net Web Developer,Tidal,"Cairo, Egypt",17/01/2022 17:23,Full Time | Shift Based | Development | Software Development | Program Development,Experienced,3 - 5 Yrs of Exp,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology,Development | Software Development | Computer Science | Information Technology (IT) | Program Development | ERP Applications | APIs,https://wuzzuf.net/jobs/p/wRUWDZmpmuOw-Dot-Net-Web-Developer-Tidal-Cairo-Egypt?o=2&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Senior Web Developer (E-commerce Experience),Corporate Stack Solutions,"New Cairo, Cairo, Egypt",20/01/2022 17:23,Full Time | Web Development,Manager,6+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,CSS | E-Commerce | jQuery | Web Development | Object Oriented | AJAX | Computer Science | Information Technology (IT),https://wuzzuf.net/jobs/p/oQe3PifgsI8D-Senior-Web-Developer-E-commerce-Experience-Corporate-Stack-Solutions-Cairo-Egypt?o=3&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
web developer,momyazon,"New Cairo, Cairo, Egypt",18/01/2022 17:23,Freelance / Project | developer | Web | web developer,Experienced,,IT/Software Development,developer | Web | Computer Science | web developer,https://wuzzuf.net/jobs/p/xoUOegRJpAbx-web-developer-momyazon-Cairo-Egypt?o=4&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Backend Web Developer,Alpha IT Enterprise,"Cairo, Egypt",10/01/2022 17:23,Full Time | Work From Home | Web Development,Experienced,2 - 3 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Laravel | MySQL | JavaScript | PostgresSQL | RestAPI | Web Development | Continues Integration (CI) | Continuous Delivery (CD),https://wuzzuf.net/jobs/p/GfrikiKESROa-Backend-Web-Developer-Alpha-IT-Enterprise-Cairo-Egypt?o=5&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Senior Python Web Developer,Docspert,"Nasr City, Cairo, Egypt",09/01/2022 17:23,Full Time | Web Development | Software Development,Experienced,5+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Django | Python | Flask | Web Development | Information Technology (IT) | Computer Science | Software Development,https://wuzzuf.net/jobs/p/DNPrnC2g8agF-Senior-Python-Web-Developer-Docspert-Cairo-Egypt?o=6&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Senior Full Stack Web Developer,Mogul,"Sheikh Zayed, Giza, Egypt",19/01/2022 17:23,Full Time,Experienced,3 - 6 Yrs of Exp,IT/Software Development | Marketing/PR/Advertising | Project/Program Management,CSS | CSS3 | Computer Science | HTML | HTML5 | JavaScript | full stack,https://wuzzuf.net/jobs/p/hXqUP11E7efM-Senior-Full-Stack-Web-Developer-Mogul-Giza-Egypt?o=7&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Full Stack Web Developer,Ejada (Cairo),"Cairo, Egypt",20/01/2022 22:23,Full Time | Software Development,Experienced,5+ Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,Information Technology (IT) | Computer Science | Computer Engineering | Software Development | Software Engineering | Full-Stack | Angular | Typescript,https://wuzzuf.net/jobs/p/HX3bdeA7OgyN-Full-Stack-Web-Developer-Ejada-Cairo-Cairo-Egypt?o=8&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Web Developer,Perfect Touch Events,"Heliopolis, Cairo, Egypt",06/01/2022 17:23,Full Time | Software Development | Web Design | PHP Web Development | Web Development,Experienced,3+ Yrs of Exp,Creative/Design/Art | IT/Software Development | Engineering - Telecom/Technology,Software Development | Web Design | PHP Web Development | Information Technology (IT) | Computer Science | Web Development | Design,https://wuzzuf.net/jobs/p/LMrynXJIvuOe-Web-Developer-Perfect-Touch-Events-Cairo-Egypt?o=9&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
Senior Web Developer,Virtual Worker Now,"Heliopolis, Cairo, Egypt",06/01/2022 17:23,Full Time | Work From Home | Software Development,Experienced,3 - 4 Yrs of Exp,IT/Software Development | Engineering - Telecom/Technology,HTML 5 | Java | CSS3 | CSS | PHP | HTML | Software Development | Information Technology (IT),https://wuzzuf.net/jobs/p/6RobKbRuEcQV-Senior-Web-Developer-Virtual-Worker-Now-Cairo-Egypt?o=10&l=sp&t=sj&a=Web%20Developer|search-v3|hpb
